"Tabela 8888 - Produção Física Industrial, por seções e atividades industriais"
"Brasil","setembro 2011","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","167.24864"
"Brasil","outubro 2011","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","165.82582"
"Brasil","novembro 2011","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","163.78560"
"Brasil","dezembro 2011","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","121.96716"
"Brasil","janeiro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","124.35494"
"Brasil","fevereiro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","125.39250"
"Brasil","março 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","136.14620"
"Brasil","abril 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","129.64552"
"Brasil","maio 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","147.02896"
"Brasil","junho 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","134.34558"
"Brasil","julho 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","144.40004"
"Brasil","agosto 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","164.98233"
"Brasil","setembro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","150.57504"
"Brasil","outubro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","163.39686"
"Brasil","novembro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","150.45108"
"Brasil","dezembro 2012","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","92.25176"
"Brasil","janeiro 2013","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","115.59990"
"Brasil","fevereiro 2013","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","122.80239"
"Brasil","março 2013","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","143.12011"
"Brasil","abril 2013","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","150.20808"
"Brasil","maio 2013","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","140.69611"
